es,ru,example
la sartén,сковорода,
el sofá,диван,
la lámpara,лампа,
el estante,полка,
la alfombra,ковёр,
el cajón,ящик (мебели),
el estudiante,студент,
el profesor,преподаватель,
la profesora,преподавательница,
el examen,экзамен,
la tarea,домашнее задание,
la pizarra,доска,
el bolígrafo,ручка (для письма),
la goma,ластик,
la regla,линейка; правило,
la televisión,"телевидение, телевизор",
la radio,радио,
el calor,жара,
la nube,облако,
nublado,облачный,
soleado,солнечный,
la izquierda,левая сторона,
la derecha,правая сторона,
recto,прямо (направление),
el norte,север,
el sur,юг,
el este,восток,
el oeste,запад,
hay,"имеется, есть",
vale,"ладно, хорошо",
de acuerdo,договорились,
quizás,может быть,
los padres,родители,
el fútbol,футбол,
el deporte,спорт,
el equipo,команда,
el partido,матч,
el aire,воздух,
la luz,свет,
la sombra,тень,
el ruido,шум,
el silencio,тишина,
el olor,запах,
el sabor,вкус,
pedir,"просить, заказывать",
servir,"служить, подавать",
elegir,выбирать,
decidir,решать,
intentar,пытаться,
tratar,"пытаться, обращаться",
parar,останавливать(ся),
continuar,продолжать,
contar,считать; рассказывать,
mandar,"посылать, приказывать",
enviar,отправлять,
recibir,получать,
ganar,"выигрывать, зарабатывать",
perder,"терять, проигрывать",
costar,стоить,
faltar,не хватать,
doler,болеть (о боли),
distinto,"иной, отличный",
diferente,"другой, отличающийся",
parecido,похожий,
igual,"одинаковый, равный",
correcto,правильный,
incorrecto,неправильный,
verdadero,"истинный, настоящий",
falso,ложный,
posible,возможный,
imposible,невозможный,
