verb,tense,person,answer,choices,hint
hablar,Presente,yo,hablo,hablas;habla;hablamos,я говорю
estar,Presente,vosotros,estáis,están;estoy;estás,вы находитесь
estar,Presente,ellos/ellas,están,estoy;estás;está,они находятся
tener,Presente,yo,tengo,tienes;tiene;tenemos,я имею
tener,Presente,tú,tienes,tiene;tenemos;tenéis,ты имеешь
tener,Presente,él/ella,tiene,tenemos;tenéis;tienen,он/она имеет
tener,Presente,nosotros,tenemos,tenéis;tienen;tengo,мы имеем
tener,Presente,vosotros,tenéis,tienen;tengo;tienes,вы имеете
tener,Presente,ellos/ellas,tienen,tengo;tienes;tiene,они имеют
ir,Presente,yo,voy,vas;va;vamos,я иду
ir,Presente,tú,vas,va;vamos;vais,ты идёшь
ir,Presente,él/ella,va,vamos;vais;van,он/она идёт
ir,Presente,nosotros,vamos,vais;van;voy,мы идём
ir,Presente,vosotros,vais,van;voy;vas,вы идёте
ir,Presente,ellos/ellas,van,voy;vas;va,они идут
hacer,Presente,yo,hago,haces;hace;hacemos,я делаю
hacer,Presente,tú,haces,hace;hacemos;hacéis,ты делаешь
hacer,Presente,él/ella,hace,hacemos;hacéis;hacen,он/она делает
hacer,Presente,nosotros,hacemos,hacéis;hacen;hago,мы делаем
hacer,Presente,vosotros,hacéis,hacen;hago;haces,вы делаете
hacer,Presente,ellos/ellas,hacen,hago;haces;hace,они делают
poder,Presente,yo,puedo,puedes;puede;podemos,я могу
poder,Presente,tú,puedes,puede;podemos;podéis,ты можешь
poder,Presente,él/ella,puede,podemos;podéis;pueden,он/она может
poder,Presente,nosotros,podemos,podéis;pueden;puedo,мы можем
poder,Presente,vosotros,podéis,pueden;puedo;puedes,вы можете
poder,Presente,ellos/ellas,pueden,puedo;puedes;puede,они могут
querer,Presente,yo,quiero,quieres;quiere;queremos,я хочу
querer,Presente,tú,quieres,quiere;queremos;queréis,ты хочешь
querer,Presente,él/ella,quiere,queremos;queréis;quieren,он/она хочет
querer,Presente,nosotros,queremos,queréis;quieren;quiero,мы хотим
querer,Presente,vosotros,queréis,quieren;quiero;quieres,вы хотите
querer,Presente,ellos/ellas,quieren,quiero;quieres;quiere,они хотят
decir,Presente,yo,digo,dices;dice;decimos,я говорю
decir,Presente,tú,dices,dice;decimos;decís,ты говоришь
decir,Presente,él/ella,dice,decimos;decís;dicen,он/она говорит
decir,Presente,nosotros,decimos,decís;dicen;digo,мы говорим
decir,Presente,vosotros,decís,dicen;digo;dices,вы говорите
decir,Presente,ellos/ellas,dicen,digo;dices;dice,они говорят
venir,Presente,yo,vengo,vienes;viene;venimos,я прихожу
venir,Presente,tú,vienes,viene;venimos;venís,ты приходишь
venir,Presente,él/ella,viene,venimos;venís;vienen,он/она приходит
venir,Presente,nosotros,venimos,venís;vienen;vengo,мы приходим
venir,Presente,vosotros,venís,vienen;vengo;vienes,вы приходите
venir,Presente,ellos/ellas,vienen,vengo;vienes;viene,они приходят
saber,Presente,yo,sé,sabes;sabe;sabemos,я знаю
saber,Presente,tú,sabes,sabe;sabemos;sabéis,ты знаешь
saber,Presente,él/ella,sabe,sabemos;sabéis;saben,он/она знает
saber,Presente,nosotros,sabemos,sabéis;saben;sé,мы знаем
saber,Presente,vosotros,sabéis,saben;sé;sabes,вы знаете
saber,Presente,ellos/ellas,saben,sé;sabes;sabe,они знают
dar,Presente,yo,doy,das;da;damos,я даю
dar,Presente,tú,das,da;damos;dais,ты даёшь
dar,Presente,él/ella,da,damos;dais;dan,он/она даёт
dar,Presente,nosotros,damos,dais;dan;doy,мы даём
dar,Presente,vosotros,dais,dan;doy;das,вы даёте
dar,Presente,ellos/ellas,dan,doy;das;da,они дают
ver,Presente,yo,veo,ves;ve;vemos,я вижу
ver,Presente,tú,ves,ve;vemos;veis,ты видишь
ver,Presente,él/ella,ve,vemos;veis;ven,он/она видит
ver,Presente,nosotros,vemos,veis;ven;veo,мы видим
ver,Presente,vosotros,veis,ven;veo;ves,вы видите
ver,Presente,ellos/ellas,ven,veo;ves;ve,они видят
