verb,tense,person,answer,choices,hint
saber,Presente de subjuntivo,ellos/ellas,sepan,sepa;sepas;sepamos,(чтобы) они знали
dar,Presente de subjuntivo,yo,dé,des;demos;deis,(чтобы) я дал
dar,Presente de subjuntivo,tú,des,dé;demos;deis,(чтобы) ты дал
dar,Presente de subjuntivo,él/ella,dé,demos;deis;den,(чтобы) он/она дал
dar,Presente de subjuntivo,nosotros,demos,deis;den;dé,(чтобы) мы дали
dar,Presente de subjuntivo,vosotros,deis,den;dé;des,(чтобы) вы дали
dar,Presente de subjuntivo,ellos/ellas,den,dé;des;demos,(чтобы) они дали
venir,Presente de subjuntivo,yo,venga,vengas;vengamos;vengáis,(чтобы) я пришёл
venir,Presente de subjuntivo,tú,vengas,venga;vengamos;vengáis,(чтобы) ты пришёл
venir,Presente de subjuntivo,él/ella,venga,vengamos;vengáis;vengan,(чтобы) он/она пришёл
venir,Presente de subjuntivo,nosotros,vengamos,vengáis;vengan;venga,(чтобы) мы пришли
venir,Presente de subjuntivo,vosotros,vengáis,vengan;venga;vengas,(чтобы) вы пришли
venir,Presente de subjuntivo,ellos/ellas,vengan,venga;vengas;vengamos,(чтобы) они пришли
hablar,Imperativo,tú,habla,hable;hablemos;hablad,говори
hablar,Imperativo,usted,hable,hablemos;hablad;hablen,говорите (Vd.)
hablar,Imperativo,nosotros,hablemos,hablad;hablen;habla,давайте говорить
hablar,Imperativo,vosotros,hablad,hablen;habla;hable,говорите
hablar,Imperativo,ustedes,hablen,habla;hable;hablemos,говорите (Vds.)
comer,Imperativo,tú,come,coma;comamos;comed,ешь
comer,Imperativo,usted,coma,comamos;comed;coman,ешьте (Vd.)
comer,Imperativo,nosotros,comamos,comed;coman;come,давайте есть
comer,Imperativo,vosotros,comed,coman;come;coma,ешьте
comer,Imperativo,ustedes,coman,come;coma;comamos,ешьте (Vds.)
vivir,Imperativo,tú,vive,viva;vivamos;vivid,живи
vivir,Imperativo,usted,viva,vivamos;vivid;vivan,живите (Vd.)
vivir,Imperativo,nosotros,vivamos,vivid;vivan;vive,давайте жить
vivir,Imperativo,vosotros,vivid,vivan;vive;viva,живите
vivir,Imperativo,ustedes,vivan,vive;viva;vivamos,живите (Vds.)
tener,Imperativo,tú,ten,tenga;tengamos;tened,имей
tener,Imperativo,usted,tenga,tengamos;tened;tengan,имейте (Vd.)
tener,Imperativo,nosotros,tengamos,tened;tengan;ten,давайте иметь
tener,Imperativo,vosotros,tened,tengan;ten;tenga,имейте
tener,Imperativo,ustedes,tengan,ten;tenga;tengamos,имейте (Vds.)
poner,Imperativo,tú,pon,ponga;pongamos;poned,положи
poner,Imperativo,usted,ponga,pongamos;poned;pongan,положите (Vd.)
poner,Imperativo,nosotros,pongamos,poned;pongan;pon,давайте положим
poner,Imperativo,vosotros,poned,pongan;pon;ponga,положите
poner,Imperativo,ustedes,pongan,pon;ponga;pongamos,положите (Vds.)
salir,Imperativo,tú,sal,salga;salgamos;salid,выйди
salir,Imperativo,usted,salga,salgamos;salid;salgan,выйдите (Vd.)
salir,Imperativo,nosotros,salgamos,salid;salgan;sal,давайте выйдем
salir,Imperativo,vosotros,salid,salgan;sal;salga,выйдите
salir,Imperativo,ustedes,salgan,sal;salga;salgamos,выйдите (Vds.)
hacer,Imperativo,tú,haz,haga;hagamos;haced,сделай
hacer,Imperativo,usted,haga,hagamos;haced;hagan,сделайте (Vd.)
hacer,Imperativo,nosotros,hagamos,haced;hagan;haz,давайте сделаем
hacer,Imperativo,vosotros,haced,hagan;haz;haga,сделайте
hacer,Imperativo,ustedes,hagan,haz;haga;hagamos,сделайте (Vds.)
decir,Imperativo,tú,di,diga;digamos;decid,скажи
decir,Imperativo,usted,diga,digamos;decid;digan,скажите (Vd.)
decir,Imperativo,nosotros,digamos,decid;digan;di,давайте скажем
decir,Imperativo,vosotros,decid,digan;di;diga,скажите
decir,Imperativo,ustedes,digan,di;diga;digamos,скажите (Vds.)
ir,Imperativo,tú,ve,vaya;vamos;id,иди
ir,Imperativo,usted,vaya,vamos;id;vayan,идите (Vd.)
ir,Imperativo,nosotros,vamos,id;vayan;ve,давайте пойдём
ir,Imperativo,vosotros,id,vayan;ve;vaya,идите
ir,Imperativo,ustedes,vayan,ve;vaya;vamos,идите (Vds.)
ser,Imperativo,tú,sé,sea;seamos;sed,будь
ser,Imperativo,usted,sea,seamos;sed;sean,будьте (Vd.)
ser,Imperativo,nosotros,seamos,sed;sean;sé,давайте будем
ser,Imperativo,vosotros,sed,sean;sé;sea,будьте
ser,Imperativo,ustedes,sean,sé;sea;seamos,будьте (Vds.)
venir,Imperativo,tú,ven,venga;vengamos;venid,приди
venir,Imperativo,usted,venga,vengamos;venid;vengan,придите (Vd.)
venir,Imperativo,nosotros,vengamos,venid;vengan;ven,давайте придём
venir,Imperativo,vosotros,venid,vengan;ven;venga,придите
venir,Imperativo,ustedes,vengan,ven;venga;vengamos,придите (Vds.)
dar,Imperativo,tú,da,dé;demos;dad,дай
dar,Imperativo,usted,dé,demos;dad;den,дайте (Vd.)
dar,Imperativo,nosotros,demos,dad;den;da,давайте дадим
dar,Imperativo,vosotros,dad,den;da;dé,дайте
dar,Imperativo,ustedes,den,da;dé;demos,дайте (Vds.)
pensar,Imperativo,tú,piensa,piense;pensemos;pensad,думай
pensar,Imperativo,usted,piense,pensemos;pensad;piensen,думайте (Vd.)
pensar,Imperativo,nosotros,pensemos,pensad;piensen;piensa,давайте думать
pensar,Imperativo,vosotros,pensad,piensen;piensa;piense,думайте
pensar,Imperativo,ustedes,piensen,piensa;piense;pensemos,думайте (Vds.)
volver,Imperativo,tú,vuelve,vuelva;volvamos;volved,вернись
volver,Imperativo,usted,vuelva,volvamos;volved;vuelvan,вернитесь (Vd.)
volver,Imperativo,nosotros,volvamos,volved;vuelvan;vuelve,давайте вернёмся
volver,Imperativo,vosotros,volved,vuelvan;vuelve;vuelva,вернитесь
volver,Imperativo,ustedes,vuelvan,vuelve;vuelva;volvamos,вернитесь (Vds.)
dormir,Imperativo,tú,duerme,duerma;durmamos;dormid,спи
dormir,Imperativo,usted,duerma,durmamos;dormid;duerman,спите (Vd.)
dormir,Imperativo,nosotros,durmamos,dormid;duerman;duerme,давайте спать
dormir,Imperativo,vosotros,dormid,duerman;duerme;duerma,спите
dormir,Imperativo,ustedes,duerman,duerme;duerma;durmamos,спите (Vds.)
