verb,tense,person,answer,choices,hint
poner,Presente de subjuntivo,yo,ponga,pongas;pongamos;pongáis,(чтобы) я клал
poner,Presente de subjuntivo,tú,pongas,ponga;pongamos;pongáis,(чтобы) ты клал
poner,Presente de subjuntivo,él/ella,ponga,pongamos;pongáis;pongan,(чтобы) он/она клал
poner,Presente de subjuntivo,nosotros,pongamos,pongáis;pongan;ponga,(чтобы) мы клали
poner,Presente de subjuntivo,vosotros,pongáis,pongan;ponga;pongas,(чтобы) вы клали
poner,Presente de subjuntivo,ellos/ellas,pongan,ponga;pongas;pongamos,(чтобы) они клали
salir,Presente de subjuntivo,yo,salga,salgas;salgamos;salgáis,(чтобы) я выходил
salir,Presente de subjuntivo,tú,salgas,salga;salgamos;salgáis,(чтобы) ты выходил
salir,Presente de subjuntivo,él/ella,salga,salgamos;salgáis;salgan,(чтобы) он/она выходил
salir,Presente de subjuntivo,nosotros,salgamos,salgáis;salgan;salga,(чтобы) мы выходили
salir,Presente de subjuntivo,vosotros,salgáis,salgan;salga;salgas,(чтобы) вы выходили
salir,Presente de subjuntivo,ellos/ellas,salgan,salga;salgas;salgamos,(чтобы) они выходили
decir,Presente de subjuntivo,yo,diga,digas;digamos;digáis,(чтобы) я говорил
decir,Presente de subjuntivo,tú,digas,diga;digamos;digáis,(чтобы) ты говорил
decir,Presente de subjuntivo,él/ella,diga,digamos;digáis;digan,(чтобы) он/она говорил
decir,Presente de subjuntivo,nosotros,digamos,digáis;digan;diga,(чтобы) мы говорили
decir,Presente de subjuntivo,vosotros,digáis,digan;diga;digas,(чтобы) вы говорили
decir,Presente de subjuntivo,ellos/ellas,digan,diga;digas;digamos,(чтобы) они говорили
dormir,Presente de subjuntivo,yo,duerma,duermas;durmamos;durmáis,(чтобы) я спал
dormir,Presente de subjuntivo,tú,duermas,duerma;durmamos;durmáis,(чтобы) ты спал
dormir,Presente de subjuntivo,él/ella,duerma,durmamos;durmáis;duerman,(чтобы) он/она спал
dormir,Presente de subjuntivo,nosotros,durmamos,durmáis;duerman;duerma,(чтобы) мы спали
dormir,Presente de subjuntivo,vosotros,durmáis,duerman;duerma;duermas,(чтобы) вы спали
dormir,Presente de subjuntivo,ellos/ellas,duerman,duerma;duermas;durmamos,(чтобы) они спали
pensar,Presente de subjuntivo,yo,piense,pienses;pensemos;penséis,(чтобы) я думал
pensar,Presente de subjuntivo,tú,pienses,piense;pensemos;penséis,(чтобы) ты думал
pensar,Presente de subjuntivo,él/ella,piense,pensemos;penséis;piensen,(чтобы) он/она думал
pensar,Presente de subjuntivo,nosotros,pensemos,penséis;piensen;piense,(чтобы) мы думали
pensar,Presente de subjuntivo,vosotros,penséis,piensen;piense;pienses,(чтобы) вы думали
pensar,Presente de subjuntivo,ellos/ellas,piensen,piense;pienses;pensemos,(чтобы) они думали
volver,Presente de subjuntivo,yo,vuelva,vuelvas;volvamos;volváis,(чтобы) я возвращался
volver,Presente de subjuntivo,tú,vuelvas,vuelva;volvamos;volváis,(чтобы) ты возвращался
volver,Presente de subjuntivo,él/ella,vuelva,volvamos;volváis;vuelvan,(чтобы) он/она возвращался
volver,Presente de subjuntivo,nosotros,volvamos,volváis;vuelvan;vuelva,(чтобы) мы возвращались
volver,Presente de subjuntivo,vosotros,volváis,vuelvan;vuelva;vuelvas,(чтобы) вы возвращались
volver,Presente de subjuntivo,ellos/ellas,vuelvan,vuelva;vuelvas;volvamos,(чтобы) они возвращались
traer,Presente de subjuntivo,yo,traiga,traigas;traigamos;traigáis,(чтобы) я приносил
traer,Presente de subjuntivo,tú,traigas,traiga;traigamos;traigáis,(чтобы) ты приносил
traer,Presente de subjuntivo,él/ella,traiga,traigamos;traigáis;traigan,(чтобы) он/она приносил
traer,Presente de subjuntivo,nosotros,traigamos,traigáis;traigan;traiga,(чтобы) мы приносили
traer,Presente de subjuntivo,vosotros,traigáis,traigan;traiga;traigas,(чтобы) вы приносили
traer,Presente de subjuntivo,ellos/ellas,traigan,traiga;traigas;traigamos,(чтобы) они приносили
oír,Presente de subjuntivo,yo,oiga,oigas;oigamos;oigáis,(чтобы) я слышал
oír,Presente de subjuntivo,tú,oigas,oiga;oigamos;oigáis,(чтобы) ты слышал
oír,Presente de subjuntivo,él/ella,oiga,oigamos;oigáis;oigan,(чтобы) он/она слышал
oír,Presente de subjuntivo,nosotros,oigamos,oigáis;oigan;oiga,(чтобы) мы слышали
oír,Presente de subjuntivo,vosotros,oigáis,oigan;oiga;oigas,(чтобы) вы слышали
oír,Presente de subjuntivo,ellos/ellas,oigan,oiga;oigas;oigamos,(чтобы) они слышали
conducir,Presente de subjuntivo,yo,conduzca,conduzcas;conduzcamos;conduzcáis,(чтобы) я водил (машину)
conducir,Presente de subjuntivo,tú,conduzcas,conduzca;conduzcamos;conduzcáis,(чтобы) ты водил (машину)
conducir,Presente de subjuntivo,él/ella,conduzca,conduzcamos;conduzcáis;conduzcan,(чтобы) он/она водил (машину)
conducir,Presente de subjuntivo,nosotros,conduzcamos,conduzcáis;conduzcan;conduzca,(чтобы) мы водили (машину)
conducir,Presente de subjuntivo,vosotros,conduzcáis,conduzcan;conduzca;conduzcas,(чтобы) вы водили (машину)
conducir,Presente de subjuntivo,ellos/ellas,conduzcan,conduzca;conduzcas;conduzcamos,(чтобы) они водили (машину)
