verb,tense,person,answer,choices,hint
envolver,Pretérito perfecto,yo,he envuelto,has envuelto;ha envuelto;hemos envuelto,я завернул(а)
envolver,Pretérito perfecto,tú,has envuelto,ha envuelto;hemos envuelto;habéis envuelto,ты завернул(а)
envolver,Pretérito perfecto,él/ella,ha envuelto,hemos envuelto;habéis envuelto;han envuelto,он/она завернул(а)
envolver,Pretérito perfecto,nosotros,hemos envuelto,habéis envuelto;han envuelto;he envuelto,мы завернули
envolver,Pretérito perfecto,vosotros,habéis envuelto,han envuelto;he envuelto;has envuelto,вы завернули
envolver,Pretérito perfecto,ellos/ellas,han envuelto,he envuelto;has envuelto;ha envuelto,они завернули
morir,Pretérito perfecto,yo,he muerto,has muerto;ha muerto;hemos muerto,я умер/умерла
morir,Pretérito perfecto,tú,has muerto,ha muerto;hemos muerto;habéis muerto,ты умер/умерла
morir,Pretérito perfecto,él/ella,ha muerto,hemos muerto;habéis muerto;han muerto,он/она умер/умерла
morir,Pretérito perfecto,nosotros,hemos muerto,habéis muerto;han muerto;he muerto,мы умерли
morir,Pretérito perfecto,vosotros,habéis muerto,han muerto;he muerto;has muerto,вы умерли
morir,Pretérito perfecto,ellos/ellas,han muerto,he muerto;has muerto;ha muerto,они умерли
prever,Pretérito perfecto,yo,he previsto,has previsto;ha previsto;hemos previsto,я предвидел(а)
prever,Pretérito perfecto,tú,has previsto,ha previsto;hemos previsto;habéis previsto,ты предвидел(а)
prever,Pretérito perfecto,él/ella,ha previsto,hemos previsto;habéis previsto;han previsto,он/она предвидел(а)
prever,Pretérito perfecto,nosotros,hemos previsto,habéis previsto;han previsto;he previsto,мы предвидели
prever,Pretérito perfecto,vosotros,habéis previsto,han previsto;he previsto;has previsto,вы предвидели
prever,Pretérito perfecto,ellos/ellas,han previsto,he previsto;has previsto;ha previsto,они предвидели
resolver,Pretérito perfecto,yo,he resuelto,has resuelto;ha resuelto;hemos resuelto,я решил(а)
resolver,Pretérito perfecto,tú,has resuelto,ha resuelto;hemos resuelto;habéis resuelto,ты решил(а)
resolver,Pretérito perfecto,él/ella,ha resuelto,hemos resuelto;habéis resuelto;han resuelto,он/она решил(а)
resolver,Pretérito perfecto,nosotros,hemos resuelto,habéis resuelto;han resuelto;he resuelto,мы решили
resolver,Pretérito perfecto,vosotros,habéis resuelto,han resuelto;he resuelto;has resuelto,вы решили
resolver,Pretérito perfecto,ellos/ellas,han resuelto,he resuelto;has resuelto;ha resuelto,они решили
revolver,Pretérito perfecto,yo,he revuelto,has revuelto;ha revuelto;hemos revuelto,я перемешал(а)
revolver,Pretérito perfecto,tú,has revuelto,ha revuelto;hemos revuelto;habéis revuelto,ты перемешал(а)
revolver,Pretérito perfecto,él/ella,ha revuelto,hemos revuelto;habéis revuelto;han revuelto,он/она перемешал(а)
revolver,Pretérito perfecto,nosotros,hemos revuelto,habéis revuelto;han revuelto;he revuelto,мы перемешали
revolver,Pretérito perfecto,vosotros,habéis revuelto,han revuelto;he revuelto;has revuelto,вы перемешали
revolver,Pretérito perfecto,ellos/ellas,han revuelto,he revuelto;has revuelto;ha revuelto,они перемешали
romper,Pretérito perfecto,yo,he roto,has roto;ha roto;hemos roto,я сломал(а)
romper,Pretérito perfecto,tú,has roto,ha roto;hemos roto;habéis roto,ты сломал(а)
romper,Pretérito perfecto,él/ella,ha roto,hemos roto;habéis roto;han roto,он/она сломал(а)
romper,Pretérito perfecto,nosotros,hemos roto,habéis roto;han roto;he roto,мы сломали
romper,Pretérito perfecto,vosotros,habéis roto,han roto;he roto;has roto,вы сломали
romper,Pretérito perfecto,ellos/ellas,han roto,he roto;has roto;ha roto,они сломали
satisfacer,Pretérito perfecto,yo,he satisfecho,has satisfecho;ha satisfecho;hemos satisfecho,я удовлетворил(а)
satisfacer,Pretérito perfecto,tú,has satisfecho,ha satisfecho;hemos satisfecho;habéis satisfecho,ты удовлетворил(а)
satisfacer,Pretérito perfecto,él/ella,ha satisfecho,hemos satisfecho;habéis satisfecho;han satisfecho,он/она удовлетворил(а)
satisfacer,Pretérito perfecto,nosotros,hemos satisfecho,habéis satisfecho;han satisfecho;he satisfecho,мы удовлетворили
satisfacer,Pretérito perfecto,vosotros,habéis satisfecho,han satisfecho;he satisfecho;has satisfecho,вы удовлетворили
satisfacer,Pretérito perfecto,ellos/ellas,han satisfecho,he satisfecho;has satisfecho;ha satisfecho,они удовлетворили
