verb,tense,person,answer,choices,hint
decir,Pretérito indefinido,tú,dijiste,dijo;dijimos;dijisteis,ты сказал(а)
decir,Pretérito indefinido,él/ella,dijo,dijimos;dijisteis;dijeron,он/она сказал(а)
decir,Pretérito indefinido,nosotros,dijimos,dijisteis;dijeron;dije,мы сказали
decir,Pretérito indefinido,vosotros,dijisteis,dijeron;dije;dijiste,вы сказали
decir,Pretérito indefinido,ellos/ellas,dijeron,dije;dijiste;dijo,они сказали
querer,Pretérito indefinido,yo,quise,quisiste;quiso;quisimos,я захотел(а)
querer,Pretérito indefinido,tú,quisiste,quiso;quisimos;quisisteis,ты захотел(а)
querer,Pretérito indefinido,él/ella,quiso,quisimos;quisisteis;quisieron,он/она захотел(а)
querer,Pretérito indefinido,nosotros,quisimos,quisisteis;quisieron;quise,мы захотели
querer,Pretérito indefinido,vosotros,quisisteis,quisieron;quise;quisiste,вы захотели
querer,Pretérito indefinido,ellos/ellas,quisieron,quise;quisiste;quiso,они захотели
ser,Pretérito indefinido,yo,fui,fuiste;fue;fuimos,я был(а)
ser,Pretérito indefinido,tú,fuiste,fue;fuimos;fuisteis,ты был(а)
ser,Pretérito indefinido,él/ella,fue,fuimos;fuisteis;fueron,он/она был(а)
ser,Pretérito indefinido,nosotros,fuimos,fuisteis;fueron;fui,мы были
ser,Pretérito indefinido,vosotros,fuisteis,fueron;fui;fuiste,вы были
ser,Pretérito indefinido,ellos/ellas,fueron,fui;fuiste;fue,они были
dar,Pretérito indefinido,yo,di,diste;dio;dimos,я дал(а)
dar,Pretérito indefinido,tú,diste,dio;dimos;disteis,ты дал(а)
dar,Pretérito indefinido,él/ella,dio,dimos;disteis;dieron,он/она дал(а)
dar,Pretérito indefinido,nosotros,dimos,disteis;dieron;di,мы дали
dar,Pretérito indefinido,vosotros,disteis,dieron;di;diste,вы дали
dar,Pretérito indefinido,ellos/ellas,dieron,di;diste;dio,они дали
ver,Pretérito indefinido,yo,vi,viste;vio;vimos,я увидел(а)
ver,Pretérito indefinido,tú,viste,vio;vimos;visteis,ты увидел(а)
ver,Pretérito indefinido,él/ella,vio,vimos;visteis;vieron,он/она увидел(а)
ver,Pretérito indefinido,nosotros,vimos,visteis;vieron;vi,мы увидели
ver,Pretérito indefinido,vosotros,visteis,vieron;vi;viste,вы увидели
ver,Pretérito indefinido,ellos/ellas,vieron,vi;viste;vio,они увидели
poner,Pretérito indefinido,yo,puse,pusiste;puso;pusimos,я положил(а)
poner,Pretérito indefinido,tú,pusiste,puso;pusimos;pusisteis,ты положил(а)
poner,Pretérito indefinido,él/ella,puso,pusimos;pusisteis;pusieron,он/она положил(а)
poner,Pretérito indefinido,nosotros,pusimos,pusisteis;pusieron;puse,мы положили
poner,Pretérito indefinido,vosotros,pusisteis,pusieron;puse;pusiste,вы положили
poner,Pretérito indefinido,ellos/ellas,pusieron,puse;pusiste;puso,они положили
saber,Pretérito indefinido,yo,supe,supiste;supo;supimos,я узнал(а)
saber,Pretérito indefinido,tú,supiste,supo;supimos;supisteis,ты узнал(а)
saber,Pretérito indefinido,él/ella,supo,supimos;supisteis;supieron,он/она узнал(а)
saber,Pretérito indefinido,nosotros,supimos,supisteis;supieron;supe,мы узнали
saber,Pretérito indefinido,vosotros,supisteis,supieron;supe;supiste,вы узнали
saber,Pretérito indefinido,ellos/ellas,supieron,supe;supiste;supo,они узнали
hablar,Pretérito imperfecto,yo,hablaba,hablabas;hablábamos;hablabais,я говорил(а)
hablar,Pretérito imperfecto,tú,hablabas,hablaba;hablábamos;hablabais,ты говорил(а)
hablar,Pretérito imperfecto,él/ella,hablaba,hablábamos;hablabais;hablaban,он/она говорил(а)
hablar,Pretérito imperfecto,nosotros,hablábamos,hablabais;hablaban;hablaba,мы говорили
hablar,Pretérito imperfecto,vosotros,hablabais,hablaban;hablaba;hablabas,вы говорили
hablar,Pretérito imperfecto,ellos/ellas,hablaban,hablaba;hablabas;hablábamos,они говорили
comer,Pretérito imperfecto,yo,comía,comías;comíamos;comíais,я ел(а)
comer,Pretérito imperfecto,tú,comías,comía;comíamos;comíais,ты ел(а)
comer,Pretérito imperfecto,él/ella,comía,comíamos;comíais;comían,он/она ел(а)
comer,Pretérito imperfecto,nosotros,comíamos,comíais;comían;comía,мы ели
comer,Pretérito imperfecto,vosotros,comíais,comían;comía;comías,вы ели
comer,Pretérito imperfecto,ellos/ellas,comían,comía;comías;comíamos,они ели
vivir,Pretérito imperfecto,yo,vivía,vivías;vivíamos;vivíais,я жил(а)
vivir,Pretérito imperfecto,tú,vivías,vivía;vivíamos;vivíais,ты жил(а)
vivir,Pretérito imperfecto,él/ella,vivía,vivíamos;vivíais;vivían,он/она жил(а)
vivir,Pretérito imperfecto,nosotros,vivíamos,vivíais;vivían;vivía,мы жили
vivir,Pretérito imperfecto,vosotros,vivíais,vivían;vivía;vivías,вы жили
vivir,Pretérito imperfecto,ellos/ellas,vivían,vivía;vivías;vivíamos,они жили
estar,Pretérito imperfecto,yo,estaba,estabas;estábamos;estabais,я был(а)
estar,Pretérito imperfecto,tú,estabas,estaba;estábamos;estabais,ты был(а)
estar,Pretérito imperfecto,él/ella,estaba,estábamos;estabais;estaban,он/она был(а)
estar,Pretérito imperfecto,nosotros,estábamos,estabais;estaban;estaba,мы были
estar,Pretérito imperfecto,vosotros,estabais,estaban;estaba;estabas,вы были
estar,Pretérito imperfecto,ellos/ellas,estaban,estaba;estabas;estábamos,они были
ir,Pretérito imperfecto,yo,iba,ibas;íbamos;ibais,я ходил(а)
ir,Pretérito imperfecto,tú,ibas,iba;íbamos;ibais,ты ходил(а)
ir,Pretérito imperfecto,él/ella,iba,íbamos;ibais;iban,он/она ходил(а)
ir,Pretérito imperfecto,nosotros,íbamos,ibais;iban;iba,мы ходили
ir,Pretérito imperfecto,vosotros,ibais,iban;iba;ibas,вы ходили
ir,Pretérito imperfecto,ellos/ellas,iban,iba;ibas;íbamos,они ходили
hacer,Pretérito imperfecto,yo,hacía,hacías;hacíamos;hacíais,я делал(а)
hacer,Pretérito imperfecto,tú,hacías,hacía;hacíamos;hacíais,ты делал(а)
hacer,Pretérito imperfecto,él/ella,hacía,hacíamos;hacíais;hacían,он/она делал(а)
hacer,Pretérito imperfecto,nosotros,hacíamos,hacíais;hacían;hacía,мы делали
hacer,Pretérito imperfecto,vosotros,hacíais,hacían;hacía;hacías,вы делали
hacer,Pretérito imperfecto,ellos/ellas,hacían,hacía;hacías;hacíamos,они делали
tener,Pretérito imperfecto,yo,tenía,tenías;teníamos;teníais,я имел(а)
tener,Pretérito imperfecto,tú,tenías,tenía;teníamos;teníais,ты имел(а)
tener,Pretérito imperfecto,él/ella,tenía,teníamos;teníais;tenían,он/она имел(а)
tener,Pretérito imperfecto,nosotros,teníamos,teníais;tenían;tenía,мы имели
tener,Pretérito imperfecto,vosotros,teníais,tenían;tenía;tenías,вы имели
tener,Pretérito imperfecto,ellos/ellas,tenían,tenía;tenías;teníamos,они имели
poder,Pretérito imperfecto,yo,podía,podías;podíamos;podíais,я мог(ла)
poder,Pretérito imperfecto,tú,podías,podía;podíamos;podíais,ты мог(ла)
poder,Pretérito imperfecto,él/ella,podía,podíamos;podíais;podían,он/она мог(ла)
poder,Pretérito imperfecto,nosotros,podíamos,podíais;podían;podía,мы могли
poder,Pretérito imperfecto,vosotros,podíais,podían;podía;podías,вы могли
poder,Pretérito imperfecto,ellos/ellas,podían,podía;podías;podíamos,они могли
decir,Pretérito imperfecto,yo,decía,decías;decíamos;decíais,я говорил(а)
decir,Pretérito imperfecto,tú,decías,decía;decíamos;decíais,ты говорил(а)
decir,Pretérito imperfecto,él/ella,decía,decíamos;decíais;decían,он/она говорил(а)
decir,Pretérito imperfecto,nosotros,decíamos,decíais;decían;decía,мы говорили
decir,Pretérito imperfecto,vosotros,decíais,decían;decía;decías,вы говорили
decir,Pretérito imperfecto,ellos/ellas,decían,decía;decías;decíamos,они говорили
querer,Pretérito imperfecto,yo,quería,querías;queríamos;queríais,я хотел(а)
querer,Pretérito imperfecto,tú,querías,quería;queríamos;queríais,ты хотел(а)
querer,Pretérito imperfecto,él/ella,quería,queríamos;queríais;querían,он/она хотел(а)
querer,Pretérito imperfecto,nosotros,queríamos,queríais;querían;quería,мы хотели
querer,Pretérito imperfecto,vosotros,queríais,querían;quería;querías,вы хотели
querer,Pretérito imperfecto,ellos/ellas,querían,quería;querías;queríamos,они хотели
ser,Pretérito imperfecto,yo,era,eras;éramos;erais,я был(а)
ser,Pretérito imperfecto,tú,eras,era;éramos;erais,ты был(а)
ser,Pretérito imperfecto,él/ella,era,éramos;erais;eran,он/она был(а)
ser,Pretérito imperfecto,nosotros,éramos,erais;eran;era,мы были
ser,Pretérito imperfecto,vosotros,erais,eran;era;eras,вы были
ser,Pretérito imperfecto,ellos/ellas,eran,era;eras;éramos,они были
dar,Pretérito imperfecto,yo,daba,dabas;dábamos;dabais,я давал(а)
dar,Pretérito imperfecto,tú,dabas,daba;dábamos;dabais,ты давал(а)
dar,Pretérito imperfecto,él/ella,daba,dábamos;dabais;daban,он/она давал(а)
dar,Pretérito imperfecto,nosotros,dábamos,dabais;daban;daba,мы давали
dar,Pretérito imperfecto,vosotros,dabais,daban;daba;dabas,вы давали
dar,Pretérito imperfecto,ellos/ellas,daban,daba;dabas;dábamos,они давали
ver,Pretérito imperfecto,yo,veía,veías;veíamos;veíais,я видел(а)
ver,Pretérito imperfecto,tú,veías,veía;veíamos;veíais,ты видел(а)
ver,Pretérito imperfecto,él/ella,veía,veíamos;veíais;veían,он/она видел(а)
ver,Pretérito imperfecto,nosotros,veíamos,veíais;veían;veía,мы видели
ver,Pretérito imperfecto,vosotros,veíais,veían;veía;veías,вы видели
ver,Pretérito imperfecto,ellos/ellas,veían,veía;veías;veíamos,они видели
poner,Pretérito imperfecto,yo,ponía,ponías;poníamos;poníais,я клал(а)
poner,Pretérito imperfecto,tú,ponías,ponía;poníamos;poníais,ты клал(а)
poner,Pretérito imperfecto,él/ella,ponía,poníamos;poníais;ponían,он/она клал(а)
poner,Pretérito imperfecto,nosotros,poníamos,poníais;ponían;ponía,мы клали
poner,Pretérito imperfecto,vosotros,poníais,ponían;ponía;ponías,вы клали
poner,Pretérito imperfecto,ellos/ellas,ponían,ponía;ponías;poníamos,они клали
saber,Pretérito imperfecto,yo,sabía,sabías;sabíamos;sabíais,я знал(а)
saber,Pretérito imperfecto,tú,sabías,sabía;sabíamos;sabíais,ты знал(а)
saber,Pretérito imperfecto,él/ella,sabía,sabíamos;sabíais;sabían,он/она знал(а)
saber,Pretérito imperfecto,nosotros,sabíamos,sabíais;sabían;sabía,мы знали
saber,Pretérito imperfecto,vosotros,sabíais,sabían;sabía;sabías,вы знали
saber,Pretérito imperfecto,ellos/ellas,sabían,sabía;sabías;sabíamos,они знали
