es,ru,example
el anuncio,"объявление, реклама",
la audiencia,аудитория,
el canal,канал,
la emisora,радиостанция,
la red social,социальная сеть,
el usuario,пользователь,
difundir,распространять (информацию),
publicar,публиковать,
informar,информировать,
entrevistar,брать интервью,
transmitir,"передавать, транслировать",
el medio ambiente,окружающая среда,
la naturaleza,природа,
la contaminación,загрязнение,
el reciclaje,переработка отходов,
la basura,мусор,
el residuo,отход,
el calentamiento global,глобальное потепление,
el cambio climático,изменение климата,
la sequía,засуха,
la inundación,наводнение,
el terremoto,землетрясение,
el incendio,пожар,
el bosque,лес,
la selva,"джунгли, сельва",
el desierto,пустыня,
la especie,вид (биологический),
en peligro de extinción,под угрозой вымирания,
los recursos naturales,природные ресурсы,
la energía renovable,возобновляемая энергия,
proteger,"защищать, охранять",
contaminar,загрязнять,
reciclar,перерабатывать,
ahorrar,"экономить, сберегать",
desperdiciar,растрачивать впустую,
agotar,истощать,
la sociedad,общество,
el ciudadano,гражданин,
la población,население,
el gobierno,правительство,
el estado,государство,
la política,политика,
el político,политик,
las elecciones,выборы,
votar,голосовать,
el partido político,политическая партия,
la democracia,демократия,
la crisis,кризис,
el desempleo,безработица,
la pobreza,бедность,
la riqueza,богатство,
la inmigración,иммиграция,
el inmigrante,иммигрант,
el refugiado,беженец,
la discriminación,дискриминация,
el prejuicio,предрассудок,
la violencia,насилие,
el delito,преступление,
el ladrón,вор,
robar,красть,
la cárcel,тюрьма,
la multa,штраф,
la huelga,забастовка,
la manifestación,"демонстрация, митинг",
protestar,протестовать,
luchar,бороться,
exigir,требовать,
el impuesto,налог,
meter la pata,"сесть в лужу, оплошать",
tomar el pelo,"подшучивать, разыгрывать",
estar hasta las narices,быть сытым по горло,
costar un ojo de la cara,стоить бешеных денег,
ser pan comido,быть проще простого,
no tener pelos en la lengua,говорить без обиняков,
estar en las nubes,витать в облаках,
dar en el clavo,попасть в точку,
hacer la vista gorda,закрывать глаза (на что-то),
ponerse las pilas,"взяться за дело, собраться",
lograr,"добиваться, достигать",
conseguir,"получать, добиваться",
alcanzar,"достигать, доставать",
desarrollar,развивать,
crear,создавать,
producir,производить,
aumentar,увеличивать(ся),
disminuir,уменьшать(ся),
reducir,сокращать,
crecer,расти,
evitar,избегать,
impedir,препятствовать,
permitir,позволять,
prohibir,запрещать,
obligar,"обязывать, заставлять",
depender,зависеть,
pertenecer,принадлежать,
comparar,сравнивать,
comprobar,"проверять, удостоверяться",
demostrar,"доказывать, демонстрировать",
descubrir,"открывать, обнаруживать",
investigar,"исследовать, расследовать",
resolver,решать (задачу),
analizar,анализировать,
explicar,объяснять,
describir,описывать,
expresar,выражать,
mencionar,упоминать,
destacar,"выделять, подчёркивать",
señalar,указывать,
